class,maxV,minV,width,minVbp,threshold
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,43.3002256610569,-55.7657935820072,1.113,-55.7657935820072,-47.5926029639259
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,21.2720088605695,-56.220055397322,0.933,-44.9812889316757,-44.9812889316757
1,37.8517077578675,-52.4627217815135,1.023,-52.4627217815135,-47.3880206218094
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,42.3739603418678,-55.4217322501592,1.149,-55.4217322501592,-47.4952764611476
1,43.1955367840283,-55.6725595704524,1.134,-55.6725595704524,-47.5285074654379
0,0,0,0,0,0
0,0,0,0,0,0
1,44.757589532846,-57.0519153071675,1.191,-57.0519153071675,-47.6791771874723
0,0,0,0,0,0
0,0,0,0,0,0
1,43.1236278113146,-56.3496790645529,1.146,-56.3496790645529,-47.5741912612489
0,0,0,0,0,0
0,0,0,0,0,0
1,33.0686783714271,-61.257188667738,0.879,-51.2990886658276,-47.232376527803
1,33.1497271974034,-47.47329758961,1.11,-47.47329758961,-47.4188365368288
1,31.6116190978142,-62.7006636225231,0.879,-50.733109751348,-47.2611312715268
0,0,0,0,0,0
0,0,0,0,0,0
1,44.5004130774667,-56.2204161945527,1.218,-56.2204161945527,-47.5775350407416
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,38.9138882847691,-53.5876820021399,1.035,-53.5876820021399,-47.4246704751508
0,0,0,0,0,0
0,0,0,0,0,0
1,33.84670810487,-50.6746650126739,0.996,-50.6746650126739,-47.4265668839374
1,32.1988011105495,-56.2375987948078,0.914999999999999,-51.0262531432375,-47.3706814473408
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,42.8244823855069,-56.0715833319959,1.095,-56.0715833319959,-47.6040697458483
1,30.1138939842495,-60.7846636178968,0.894,-49.8126424848934,-47.2905999618609
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,23.0981090485665,-63.7171337385223,0.87,-47.1707804700325,-47.1707804700325
0,0,0,0,0,0
1,40.8278498651986,-54.6400762346281,1.029,-54.6400762346281,-47.4510823980773
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,36.5991276696304,-50.2458869421408,1.062,-50.2458869421408,-47.2691002038196
0,0,0,0,0,0
1,35.526183855713,-52.6077246859527,0.963000000000001,-52.6077246859527,-47.4232403263128
0,0,0,0,0,0
0,0,0,0,0,0
1,35.113493461144,-56.5931164632149,0.912,-52.3320038600706,-47.3317907829586
1,45.1205280932822,-57.2169148524198,1.212,-57.2169148524198,-47.7725047342078
1,44.6030563435108,-55.9424589854007,1.206,-55.9424589854007,-47.5517385589506
0,0,0,0,0,0
1,33.935118874189,-58.7154749918189,0.894,-51.6042600944817,-47.2949443474584
1,44.8651463084675,-56.8767077446143,1.242,-56.8767077446143,-47.6363604604314
1,41.0227203608866,-55.524827412767,1.083,-55.524827412767,-47.6278403579512
0,0,0,0,0,0
1,15.9846829401525,-49.2634716503164,1.065,-40.1290187197456,-40.1290187197456
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
