class,maxV,minV,width,minVbp,threshold
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,44.438899,-57.20234746,1.203,-57.20234746,-47.76526326
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,45.27965217,-56.46631308,1.266,-56.46631308,-47.56880865
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,38.96344788,-54.53168749,1.029,-54.53168749,-47.46609835
0,0,0,0,0,0
1,29.97343889,-67.783956,0.849,-50.92155839,-47.2996034
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,13.72647909,-47.07075768,1.125,-38.32549622,-38.32549622
0,0,0,0,0,0
0,0,0,0,0,0
1,42.86732662,-53.49029382,1.206,-53.49029382,-47.28174544
0,0,0,0,0,0
0,0,0,0,0,0
1,24.95415925,-41.70440126,1.167,-41.70440126,-41.70440126
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,34.02588929,-55.55509404,0.915,-52.43054674,-47.44108783
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,42.64375335,-55.89461368,1.149,-55.89461368,-47.55426515
1,19.09437188,-51.79022435,0.987,-43.27774716,-43.27774716
0,0,0,0,0,0
1,35.71505523,-50.53418436,1.002,-50.53418436,-47.24080106
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,18.21097128,-67.93554151,0.834,-45.86649468,-45.86649468
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,34.55272713,-45.35262425,1.269,-45.35262425,-45.35262425
1,40.51092838,-54.78315533,1.08,-54.78315533,-47.50206918
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,33.92434671,-51.24332572,0.978,-51.24332572,-47.42005305
0,0,0,0,0,0
1,37.10741958,-51.9722837,1.041,-51.9722837,-47.34805099
1,23.52902425,-70.79898428,0.807,-48.74291472,-47.31881407
0,0,0,0,0,0
1,41.65251246,-54.1646237,1.113,-54.1646237,-47.41471752
0,0,0,0,0,0
1,28.66656657,-62.10961606,0.876,-48.91434722,-47.27099918
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,45.89356998,-57.58209015,1.308,-57.58209015,-47.72723061
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
