class,maxV,minV,width,minVbp,threshold
1,43.6708052408945,-54.519558163049,1.221,-54.519558163049,-47.3555841035553
1,43.7010692526733,-54.4697863592888,1.224,-54.4697863592888,-47.4025536052545
0,0,0,0,0,0
1,43.1662826098507,-54.419342285658,1.236,-54.419342285658,-47.4434638958164
0,0,0,0,0,0
1,43.5448432292365,-54.4398799041759,1.203,-54.4398799041759,-47.3770022140694
1,43.5592080416442,-54.5449326477251,1.242,-54.5449326477251,-47.4017797237652
1,43.3096872570571,-54.4568143016392,1.221,-54.4568143016392,-47.4161179470079
1,43.3661050477418,-54.5656475473383,1.206,-54.5656475473383,-47.4085568182924
1,43.2686863467336,-54.3380907244598,1.227,-54.3380907244598,-47.4392991522745
1,43.639032093062,-54.4422509070006,1.224,-54.4422509070006,-47.4169046997138
1,43.1163862830996,-54.3651602446184,1.212,-54.3651602446184,-47.4607275278635
1,43.5385795155142,-54.3462149728781,1.221,-54.3462149728781,-47.3743048537298
1,43.498246369779,-54.2789926322053,1.245,-54.2789926322053,-47.3921915254731
1,43.355570715662,-54.53362947924,1.218,-54.53362947924,-47.4080448212001
1,43.3989799758062,-54.6304715204064,1.239,-54.6304715204064,-47.3862821258658
1,43.415215996415,-54.3237048410318,1.215,-54.3237048410318,-47.4105200771382
1,43.2559472788918,-54.5151575328972,1.197,-54.5151575328972,-47.4184049227515
1,43.6630220952078,-54.5267509281491,1.209,-54.5267509281491,-47.4148780520561
1,43.3494830883335,-54.6623476625235,1.215,-54.6623476625235,-47.4412004161148
1,43.5856793808809,-54.4512860249354,1.23,-54.4512860249354,-47.3614516263654
1,43.3860815832465,-54.4642955509209,1.215,-54.4642955509209,-47.3575455430635
1,43.5449087641094,-54.5215428624516,1.209,-54.5215428624516,-47.3962999460292
1,43.2989180876629,-54.3875875942341,1.236,-54.3875875942341,-47.37007820506
1,43.6010937139259,-54.5406159113528,1.23,-54.5406159113528,-47.3747891816068
1,43.6488609720419,-54.5832337320207,1.233,-54.5832337320207,-47.3628262420917
1,43.5501283010011,-54.3867943660168,1.248,-54.3867943660168,-47.3757373400837
1,43.4503581823731,-54.5744208072085,1.233,-54.5744208072085,-47.3925077235422
1,43.2262492863952,-54.3800551863884,1.233,-54.3800551863884,-47.4024789524146
1,43.3673262815946,-54.3039934858122,1.26,-54.3039934858122,-47.4145726307955
