class,maxV,minV,width,minVbp,threshold
1,43.2888688402346,-54.4327397562303,1.218,-54.4327397562303,-47.3768337625804
1,43.3704202061076,-54.4601027936391,1.233,-54.4601027936391,-47.4631711167876
1,43.3838230147623,-54.4730770023883,1.209,-54.4730770023883,-47.3971488006562
1,43.2810901154087,-54.4567806241697,1.218,-54.4567806241697,-47.448708944106
1,43.27891570288,-54.4636840042639,1.206,-54.4636840042639,-47.4613645647902
1,43.3786643724739,-54.4579585920819,1.215,-54.4579585920819,-47.4294059458195
1,43.3494257743675,-54.4621045812193,1.245,-54.4621045812193,-47.3847949968955
1,43.3188064751009,-54.4513411470659,1.209,-54.4513411470659,-47.4247133168243
1,43.3196602037278,-54.4698914775523,1.239,-54.4698914775523,-47.4119829643146
1,43.2330829981628,-54.4636160528391,1.209,-54.4636160528391,-47.463430150022
1,43.2710583431271,-54.4316138377239,1.215,-54.4316138377239,-47.3872855427969
1,43.3547848239964,-54.4650774787466,1.239,-54.4650774787466,-47.4242872555979
1,43.3743255308492,-54.4719651989049,1.215,-54.4719651989049,-47.4447339152302
1,43.4001154715995,-54.4373907795762,1.227,-54.4373907795762,-47.417227636015
0,0,0,0,0,0
1,43.2688390162509,-54.4600798528826,1.239,-54.4600798528826,-47.4186493419372
1,43.3372199573981,-54.4564601978612,1.224,-54.4564601978612,-47.3729208978378
1,43.3856329057067,-54.4298842577715,1.224,-54.4298842577715,-47.4156693929858
1,43.2756547928907,-54.4751742954886,1.215,-54.4751742954886,-47.4556198589699
1,43.3766153389365,-54.4548184131059,1.224,-54.4548184131059,-47.4410482280431
1,43.3730364263531,-54.4299377990528,1.227,-54.4299377990528,-47.4317119790706
1,43.364774602192,-54.448540657508,1.227,-54.448540657508,-47.4310291034421
1,43.2922056241524,-54.4753205202826,1.206,-54.4753205202826,-47.4548704646354
1,43.3280523118694,-54.4450260561171,1.224,-54.4450260561171,-47.4644853110485
1,43.2944867412197,-54.4630014493945,1.245,-54.4630014493945,-47.4092053090603
1,43.3343852010701,-54.4528300173079,1.23,-54.4528300173079,-47.4260587663865
1,43.258025147048,-54.4563316110088,1.227,-54.4563316110088,-47.3909866203106
1,43.3054109381393,-54.4847163988793,1.212,-54.4847163988793,-47.4281270374296
1,43.3020637838279,-54.4586022949362,1.236,-54.4586022949362,-47.4208635730864
1,43.3373478672598,-54.4529327182448,1.221,-54.4529327182448,-47.4282671598529
