class,maxV,minV,width,minVbp,threshold
1,42.9873799144889,-53.5544436403365,1.23,-53.5544436403365,-47.3467260809527
1,43.9827744661924,-55.398632364348,1.233,-55.398632364348,-47.5076794990601
0,0,0,0,0,0
1,42.8756775021341,-55.1600744951644,1.197,-55.1600744951644,-47.4589519840206
1,43.7408008721679,-55.0030464492547,1.248,-55.0030464492547,-47.4418860925515
1,43.9376890235531,-54.5175260384059,1.26,-54.5175260384059,-47.4157067232552
1,44.024017060322,-54.8460686835104,1.215,-54.8460686835104,-47.4543642701049
1,43.22302311543,-55.012850721167,1.191,-55.012850721167,-47.4973310915347
1,43.8917047683147,-55.1129043097086,1.2,-55.1129043097086,-47.4779017807811
1,42.3783657998871,-54.4313411038863,1.185,-54.4313411038863,-47.4567594579042
1,43.3894553899397,-54.981007246842,1.188,-54.981007246842,-47.4937317799882
1,44.4224109807815,-55.2792403289448,1.239,-55.2792403289448,-47.4700283459483
1,43.6344567063071,-54.6355466662991,1.215,-54.6355466662991,-47.3772440829437
1,44.0327216565146,-54.3479501736599,1.245,-54.3479501736599,-47.3420183993289
1,44.2739935771473,-55.2380039981044,1.245,-55.2380039981044,-47.4294710872224
0,0,0,0,0,0
1,43.7301046038296,-55.6267894525851,1.206,-55.6267894525851,-47.5802117813146
1,42.7491666986986,-54.8327844830389,1.188,-54.8327844830389,-47.4437840701191
1,43.3111932849033,-54.1437577723796,1.191,-54.1437577723796,-47.3577775474238
1,42.8855396037482,-54.3383160245846,1.2,-54.3383160245846,-47.3779429439727
1,43.2527540519336,-55.3659382594121,1.209,-55.3659382594121,-47.4786098648351
1,44.2900689826606,-54.964618999074,1.257,-54.964618999074,-47.4555759794643
1,43.8681876202407,-55.4234444404571,1.239,-55.4234444404571,-47.5181250884335
1,43.1600063415525,-55.7548108267664,1.188,-55.7548108267664,-47.612936104844
0,0,0,0,0,0
1,43.0781008545105,-54.8200244936811,1.2,-54.8200244936811,-47.4491129332466
1,42.9269810319506,-53.955351367843,1.215,-53.955351367843,-47.3538117086651
0,0,0,0,0,0
1,43.8299805415431,-55.837732517975,1.212,-55.837732517975,-47.5415747582764
1,43.340274911855,-53.6996478541865,1.221,-53.6996478541865,-47.3158041652456
1,43.1015298358978,-54.5828695543805,1.215,-54.5828695543805,-47.4244350365838
0,0,0,0,0,0
1,43.6117408472364,-55.9917936751424,1.209,-55.9917936751424,-47.5450038521531
1,42.8051782363239,-54.2228858149738,1.224,-54.2228858149738,-47.4399408609217
1,42.8960764019285,-53.8479854646921,1.242,-53.8479854646921,-47.3927539414468
1,43.943893815546,-54.2254110441156,1.269,-54.2254110441156,-47.3810752690917
1,42.0119102777444,-51.6890324625333,1.26,-51.6890324625333,-47.1720397917114
1,43.1460486820459,-53.8954297180778,1.203,-53.8954297180778,-47.3450340018865
1,43.7257924217432,-55.044984561927,1.197,-55.044984561927,-47.4091661595208
1,43.1935350721656,-54.3916128091098,1.197,-54.3916128091098,-47.4013161207509
1,43.4880791238895,-54.7108420378976,1.206,-54.7108420378976,-47.4186895321522
1,43.5486776666006,-55.8181242193021,1.218,-55.8181242193021,-47.5828501033453
1,43.5064306362954,-54.5513236095622,1.233,-54.5513236095622,-47.4301971812135
1,43.9358624231451,-55.3382575771092,1.209,-55.3382575771092,-47.5012018756833
1,42.8578562612555,-54.6509037510035,1.191,-54.6509037510035,-47.4759849073509
1,42.86377488349,-54.0306945278669,1.218,-54.0306945278669,-47.3391765516237
1,42.2515519276794,-54.1028676315584,1.182,-54.1028676315584,-47.388500074115
1,43.4650845454414,-54.0300945122049,1.26,-54.0300945122049,-47.3821545889778
1,42.7713635166853,-52.5668470624587,1.245,-52.5668470624587,-47.2269949400731
1,43.096994406888,-55.4934781008437,1.194,-55.4934781008437,-47.4966957894766
1,43.248348934159,-55.216638805288,1.194,-55.216638805288,-47.4475293508023
0,0,0,0,0,0
0,0,0,0,0,0
1,44.140394253579,-55.1448820054898,1.248,-55.1448820054898,-47.4200004288033
1,43.3410046744318,-54.6359844844574,1.218,-54.6359844844574,-47.4432741131403
0,0,0,0,0,0
1,44.4860456509904,-55.5189151596289,1.23,-55.5189151596289,-47.4795846797991
1,41.9619193364108,-51.4769542453393,1.284,-51.4769542453393,-47.2353609160526
1,43.7505367501525,-54.533362838533,1.254,-54.533362838533,-47.3778557352326
1,42.6021962909809,-53.5648184182536,1.218,-53.5648184182536,-47.3859593677655
