class,maxV,minV,width,minVbp,threshold
1,43.3335982925095,-54.4298330306076,1.224,-54.4298330306076,-47.413167087132
1,43.4398820646173,-54.4529229911931,1.26,-54.4529229911931,-47.4274845915328
1,43.4047915967778,-54.4700203847316,1.218,-54.4700203847316,-47.3882463828315
1,43.2717262516622,-54.442908204754,1.221,-54.442908204754,-47.4096990131084
1,43.4199506944016,-54.4563792084035,1.236,-54.4563792084035,-47.3840073677324
1,43.3761122986577,-54.4260107583691,1.218,-54.4260107583691,-47.4573647104921
1,43.2875887183242,-54.4725188403422,1.218,-54.4725188403422,-47.4308340962358
1,43.3255981155248,-54.4462954241733,1.227,-54.4462954241733,-47.3662962650524
1,43.3628744764152,-54.4574439418901,1.206,-54.4574439418901,-47.3558733833597
1,43.4281309078807,-54.4927274134487,1.218,-54.4927274134487,-47.3677256831525
1,43.3949658669432,-54.4599212222046,1.233,-54.4599212222046,-47.4641731618459
1,43.3903327899073,-54.472610799221,1.236,-54.472610799221,-47.4155941652779
1,43.3023905226401,-54.4745041090214,1.215,-54.4745041090214,-47.401802333827
1,43.3141692411822,-54.4665997293131,1.233,-54.4665997293131,-47.4029554737731
1,43.2741048425802,-54.4512361410651,1.224,-54.4512361410651,-47.401577541324
1,43.3521521195767,-54.483408736846,1.215,-54.483408736846,-47.4270002357199
1,43.2715052835831,-54.4458873604248,1.215,-54.4458873604248,-47.3865976115358
1,43.4346038732115,-54.4673612743113,1.245,-54.4673612743113,-47.3889162453812
1,43.2407124550339,-54.4697613210857,1.23,-54.4697613210857,-47.4287323800284
1,43.4782387161169,-54.4614491707562,1.212,-54.4614491707562,-47.4436585948669
1,43.3335727041656,-54.455983232405,1.206,-54.455983232405,-47.4477013522883
1,43.3670812363363,-54.4377998215142,1.218,-54.4377998215142,-47.362833027162
1,43.3309706499565,-54.4456585522442,1.227,-54.4456585522442,-47.3915714873219
1,43.3166747640102,-54.4335083381143,1.251,-54.4335083381143,-47.408749450615
1,43.3944535334575,-54.4589942455817,1.233,-54.4589942455817,-47.4481760874017
1,43.2359158973093,-54.4594231181348,1.227,-54.4594231181348,-47.4724929361658
1,43.3991990320554,-54.4557796968401,1.224,-54.4557796968401,-47.4484876858151
1,43.4026980747774,-54.436235763862,1.227,-54.436235763862,-47.435043935647
1,43.3071260214436,-54.4646582804499,1.197,-54.4646582804499,-47.3704927968148
1,43.2500253799608,-54.455156687929,1.227,-54.455156687929,-47.4105415396313
