"g_Na","g_K","injCurrent"
169.609363565332,19.7488853804889,4.20450607972273
157.684673425916,19.8975968292486,1.92984173417789
162.775274923628,20.0304993134293,3.00111293990101
160.552427026475,19.6797112202377,2.53598541309434
160.62042677925,20.098713707051,2.46760059756088
164.306451011709,19.3210790821243,3.16200090395606
157.004198875065,20.2951456655847,1.92422031848336
162.536575611321,19.8488827280193,2.79802814578567
166.280702905874,19.6469873477991,3.5298019811235
162.455307117848,20.2052962088909,2.86790974816061
165.001482435102,20.0454620807394,3.28162102977227
159.067239117484,20.6457059011776,2.19749739495931
165.103248848749,19.7617291461828,3.41172418842347
162.036132548436,20.4517137824094,2.74795870519569
157.820791264884,20.056956764843,2.08101299628871
167.375939742624,19.1390725441902,3.6506797673943
162.835146697489,19.5701245762296,2.94039086410694
165.501077259865,19.6489632448842,3.26198769403598
156.846064467715,20.6029964837014,1.87866128984247
163.641398304305,19.8691762338355,3.1474697946884
165.963611155748,18.8024586545619,3.40495899311341
157.482729689891,20.5553336851039,2.02791384314273
160.682817863959,20.5330349005909,2.57623269016164
165.217201167593,19.1011759003948,3.29843360194845
159.495814342672,19.8840545954013,2.24473572240301
164.281305494229,20.1784380053341,3.12580487059736
165.15380840898,19.3917054892921,3.36413489289014
162.99375704198,20.3520009039915,3.00486934615828
158.971268288105,20.4061878546966,2.317446340013
163.626029120458,18.9833631091009,3.00244374974718
