class,maxV,minV,width,minVbp,threshold
1,43.2967740804581,-54.4437369878802,1.218,-54.4437369878802,-47.380042753536
1,43.184212087344,-54.4495430643717,1.221,-54.4495430643717,-47.459025614141
1,43.2473732302011,-54.4633501013607,1.206,-54.4633501013607,-47.4401597114043
1,43.2515099003337,-54.4659919772493,1.227,-54.4659919772493,-47.4109955957802
1,43.2910558524963,-54.4369070100922,1.218,-54.4369070100922,-47.4052631780632
1,43.3288403961973,-54.4558950105452,1.215,-54.4558950105452,-47.4351453361058
1,43.4080605169292,-54.4530365269894,1.2,-54.4530365269894,-47.3567182383083
1,43.415338162134,-54.4667400780614,1.215,-54.4667400780614,-47.4536669636317
1,43.2866449907297,-54.4387117394474,1.224,-54.4387117394474,-47.4643816902799
1,43.4462690716436,-54.4513910596867,1.245,-54.4513910596867,-47.3843898697061
1,43.3688186022278,-54.5018112868339,1.224,-54.5018112868339,-47.374828219886
1,43.4510959745378,-54.4762917130214,1.212,-54.4762917130214,-47.3905816108828
1,43.4420613743962,-54.4550996385121,1.233,-54.4550996385121,-47.4349007421673
1,43.4725908962858,-54.4451421224784,1.257,-54.4451421224784,-47.4189365301176
1,43.3999982179965,-54.4401590347669,1.254,-54.4401590347669,-47.4081096990314
1,43.3452202156791,-54.440563090001,1.206,-54.440563090001,-47.4297321543286
1,43.347769453081,-54.481194343187,1.236,-54.481194343187,-47.4473772747424
1,43.3902247378963,-54.4458212103738,1.236,-54.4458212103738,-47.3641837500994
1,43.3917705655101,-54.4595333906533,1.233,-54.4595333906533,-47.4088354720646
0,0,0,0,0,0
1,43.3773053218387,-54.446130559665,1.236,-54.446130559665,-47.459696431606
1,43.3130253521387,-54.4463476204743,1.227,-54.4463476204743,-47.4093223047728
1,43.3868010655771,-54.4698116799729,1.242,-54.4698116799729,-47.4277840677425
1,43.2699465184723,-54.4658290429723,1.221,-54.4658290429723,-47.4488077320265
1,43.242059110963,-54.4642526224111,1.2,-54.4642526224111,-47.4480156121878
1,43.3879529635807,-54.4615143389541,1.221,-54.4615143389541,-47.4538461585321
1,43.310202817967,-54.4512367967154,1.224,-54.4512367967154,-47.4539604346433
1,43.3841058442116,-54.468952614697,1.23,-54.468952614697,-47.4140418125554
1,43.330000959895,-54.4306571165992,1.227,-54.4306571165992,-47.4089169899444
1,43.4985606778056,-54.4558240991658,1.212,-54.4558240991658,-47.4359547127442
