class,maxV,minV,width,minVbp,threshold
1,43.248446315262,-54.710721954999,1.206,-54.710721954999,-47.4644141964176
1,43.501361847987,-54.2779312284349,1.212,-54.2779312284349,-47.4073477566678
1,43.5014934319458,-54.5569578502133,1.221,-54.5569578502133,-47.4555614093777
1,43.492374110837,-54.1978523071425,1.212,-54.1978523071425,-47.3141598498902
1,43.9552231690877,-54.5203527874762,1.224,-54.5203527874762,-47.3533018776143
1,43.3698491538885,-54.2278898148247,1.23,-54.2278898148247,-47.3874254066067
1,43.7213591553376,-54.6519136320848,1.221,-54.6519136320848,-47.4566629613691
1,43.5495434433716,-54.3830286137997,1.254,-54.3830286137997,-47.3932926435956
1,43.026027736252,-54.5086824025945,1.206,-54.5086824025945,-47.4070510425803
1,43.0912170073998,-54.2020156092619,1.206,-54.2020156092619,-47.3587772743987
1,43.3611841184497,-54.477823910126,1.224,-54.477823910126,-47.432997206934
1,43.0513074292595,-54.4664384327924,1.203,-54.4664384327924,-47.4529510821739
1,43.3107287845844,-54.6071571776396,1.218,-54.6071571776396,-47.3951552939556
1,43.4173059364446,-54.3780968409146,1.203,-54.3780968409146,-47.373893151471
1,43.394151957188,-54.525649388138,1.212,-54.525649388138,-47.3892860306028
1,43.5027228321831,-54.6093837456537,1.233,-54.6093837456537,-47.4581302108988
1,43.3654445168476,-54.1634310193226,1.23,-54.1634310193226,-47.42310050354
1,43.1379416806345,-54.3621447221816,1.206,-54.3621447221816,-47.3941239269693
1,43.730465145636,-54.6574171908299,1.254,-54.6574171908299,-47.4125323078734
1,43.6695671253506,-54.3534375896057,1.245,-54.3534375896057,-47.4406032990712
1,43.7226180843225,-54.5128561131763,1.254,-54.5128561131763,-47.3620361695428
1,43.5581457843642,-54.6812289756819,1.212,-54.6812289756819,-47.4002688652748
1,43.6073939991181,-54.1856912507868,1.233,-54.1856912507868,-47.3770336840483
1,43.1677926926828,-54.2643182829859,1.221,-54.2643182829859,-47.4029372676006
1,43.5597699711683,-54.8143408334285,1.212,-54.8143408334285,-47.4789958880612
1,43.660560558053,-54.7329023170269,1.23,-54.7329023170269,-47.4784303661519
1,43.5896427455356,-54.5010918430923,1.212,-54.5010918430923,-47.36964589379
1,43.1490481033668,-54.7220711293428,1.206,-54.7220711293428,-47.4617832285489
1,43.1899725449464,-54.3130768042501,1.233,-54.3130768042501,-47.3610544907871
1,43.6580573442288,-54.7969240123365,1.227,-54.7969240123365,-47.4233208919184
1,43.6920718547415,-54.6066084338673,1.245,-54.6066084338673,-47.3876496632891
1,43.3888255182239,-54.59133023819,1.221,-54.59133023819,-47.4034232753296
1,43.1217852106098,-54.3137255861992,1.212,-54.3137255861992,-47.406114303361
1,43.2416738993329,-54.1458861136986,1.209,-54.1458861136986,-47.3427755280007
0,0,0,0,0,0
1,43.6282466711469,-54.1462290982943,1.236,-54.1462290982943,-47.3663464692473
1,42.971318838534,-54.300387775243,1.209,-54.300387775243,-47.4518430077496
1,43.3471798522737,-54.1824965250379,1.227,-54.1824965250379,-47.3333051498162
1,43.7172404586956,-54.517323392932,1.233,-54.517323392932,-47.4268901748267
1,43.4674604889756,-54.801572692481,1.215,-54.801572692481,-47.4295885659146
1,43.0420232029025,-54.398406089651,1.209,-54.398406089651,-47.4488601748911
1,42.9828615944894,-54.3119404508308,1.203,-54.3119404508308,-47.3914107633273
1,43.2202521643098,-54.2412764376297,1.218,-54.2412764376297,-47.3859257979161
1,43.8265704135489,-54.4018426780197,1.236,-54.4018426780197,-47.4289977790068
1,43.8623242050748,-54.6491341816197,1.236,-54.6491341816197,-47.4255723712907
