class,maxV,minV,width,minVbp,threshold
0,0,0,0,0,0
0,0,0,0,0,0
1,34.4930384667345,-50.5479532097558,1.023,-50.5479532097558,-47.4201926873616
1,37.1923708465105,-53.3430526537421,0.93,-53.3430526537421,-47.3489334100174
0,0,0,0,0,0
1,35.3350811951438,-52.7549341007525,0.963,-52.7549341007525,-47.4413709167072
0,0,0,0,0,0
0,0,0,0,0,0
1,42.4555668668923,-56.0723653658691,1.152,-56.0723653658691,-47.6088718148333
0,0,0,0,0,0
1,45.9665014483723,-57.5306882675865,1.311,-57.5306882675865,-47.6809846729457
0,0,0,0,0,0
0,0,0,0,0,0
1,38.5797943697522,-51.835621019108,1.092,-51.835621019108,-47.3261806927458
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,41.5261872552075,-54.1965682318882,1.143,-54.1965682318882,-47.4694910712451
0,0,0,0,0,0
1,43.7538891733799,-57.0221254795576,1.161,-57.0221254795576,-47.757665201867
1,32.6714440661175,-57.5746900954509,0.912,-50.3857207470259,-47.2427402380925
1,41.1182345173582,-54.96350109146,1.026,-54.96350109146,-47.4291145614875
0,0,0,0,0,0
1,39.4941182922797,-53.4934917471827,1.077,-53.4934917471827,-47.4592113480228
1,-4.64169802702146,-66.704753030453,0.921,-38.361837328364,-38.361837328364
0,0,0,0,0,0
0,0,0,0,0,0
1,46.1104246406449,-58.1853709023355,1.275,-58.1853709023355,-47.7638528074111
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,19.7689904622326,-67.6925950113731,0.843,-46.11730275313,-46.11730275313
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,40.2267782787415,-51.7469596712141,1.143,-51.7469596712141,-47.2668839908207
0,0,0,0,0,0
1,42.5114941565089,-53.8452366703432,1.137,-53.8452366703432,-47.3144435228816
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,44.0137712439902,-55.9032980018645,1.164,-55.9032980018645,-47.5510594528208
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,37.9038971379566,-53.3024787872041,1.038,-53.3024787872041,-47.4681561771584
1,45.534394844489,-56.3813396308664,1.317,-56.3813396308664,-47.552461240336
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,14.9661241560309,-48.6273543450138,1.065,-40.0184170027542,-40.0184170027542
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,32.0398339166813,-48.8927429741475,0.99,-48.8927429741475,-47.3653356585627
1,6.65263689642235,-66.3619355056715,0.897,-40.6973853078748,-40.6973853078748
1,30.5061769847431,-48.8069518156322,1.029,-46.316948181265,-46.316948181265
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,34.7787693862368,-52.9686934581926,0.951,-50.6624478166677,-47.1591112329045
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,44.5530368649013,-57.254248227693,1.194,-57.254248227693,-47.72701374247
0,0,0,0,0,0
1,10.4437463367945,-69.7818791274796,0.822,-43.8338324841634,-43.8338324841634
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,27.2637575751009,-69.3853583630575,0.825,-50.1894008185732,-47.3164659980669
0,0,0,0,0,0
1,34.1425539879756,-51.3401658925516,0.987,-51.3401658925516,-47.4469338477032
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,41.3610293981473,-54.0666142135222,1.077,-54.0666142135222,-47.4091661040632
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
