class,maxV,minV,width,minVbp,threshold
1,43.3878910172758,-54.4440616969142,1.236,-54.4440616969142,-47.3895514805287
1,43.231848091035,-54.4535238626205,1.203,-54.4535238626205,-47.4371730805814
1,43.346400724431,-54.4474172478712,1.23,-54.4474172478712,-47.3738277819945
1,43.269119146808,-54.4409156137988,1.218,-54.4409156137988,-47.3706750986353
0,0,0,0,0,0
1,43.3741852619934,-54.4757260480864,1.242,-54.4757260480864,-47.4128582728669
1,43.2120034109864,-54.4535675172513,1.227,-54.4535675172513,-47.4680424859997
1,43.3439785228,-54.4610158730414,1.209,-54.4610158730414,-47.4556583664708
1,43.503482157887,-54.4390872230487,1.227,-54.4390872230487,-47.3922785224779
1,43.3524522601056,-54.4797443308082,1.224,-54.4797443308082,-47.4325140716029
1,43.3035976733933,-54.4650241811166,1.203,-54.4650241811166,-47.4564860660484
1,43.2783935655762,-54.4722861273653,1.227,-54.4722861273653,-47.412508471637
1,43.4702937502538,-54.4657359557327,1.212,-54.4657359557327,-47.4499138309962
1,43.3113718198031,-54.4810325585654,1.218,-54.4810325585654,-47.459352298714
1,43.441644302483,-54.4814578495432,1.218,-54.4814578495432,-47.4136094227939
1,43.4199238338956,-54.4676751950719,1.236,-54.4676751950719,-47.3904005386686
1,43.3904429993095,-54.4626962311554,1.209,-54.4626962311554,-47.3954319165048
1,43.3967351435309,-54.4485042507032,1.236,-54.4485042507032,-47.4373123579127
1,43.151516854404,-54.455139475958,1.224,-54.455139475958,-47.381919049896
1,43.4199931357264,-54.4413521649536,1.227,-54.4413521649536,-47.3827363520206
1,43.3040166778452,-54.4893849855641,1.221,-54.4893849855641,-47.4643612731781
1,43.4206937322546,-54.4340507215968,1.224,-54.4340507215968,-47.4301938996412
0,0,0,0,0,0
1,43.2881168677008,-54.4421369354676,1.224,-54.4421369354676,-47.4292415056011
1,43.3916577802022,-54.4581768829922,1.248,-54.4581768829922,-47.3866045017266
1,43.3671150588505,-54.4528126792331,1.227,-54.4528126792331,-47.3866845620826
1,43.3134074064796,-54.4513042032638,1.218,-54.4513042032638,-47.4289639618541
1,43.3661444259392,-54.4749365718456,1.209,-54.4749365718456,-47.4036877920674
1,43.3623190742165,-54.4396710821273,1.224,-54.4396710821273,-47.4080905998869
1,43.4599096214483,-54.4712133628887,1.257,-54.4712133628887,-47.3966734457587
