g_Na,g_K,injCurrent
283.3007215,37.10442215,9.954172497
247.3814546,26.43186262,1.52886495
51.93394834,17.47886064,7.140390653
281.1706836,28.88362441,0.455555199
279.5347836,24.17694023,3.586129993
164.4088818,24.22769968,10.23297852
141.27552,17.06063914,19.68162393
133.8223973,35.22502424,10.17032982
123.5586524,25.20467128,5.167949139
51.82012259,0.677054965,11.81699507
93.10647576,21.39701517,7.125747909
233.5693992,38.40974742,1.627678885
210.4003965,29.20587635,17.72997437
51.79846724,18.70183419,3.936896048
254.6327736,1.157624319,0.53690373
250.0777543,32.75863252,0.638162646
262.4406062,33.65441814,3.750178654
160.2317611,25.4327798,19.49712233
56.97919312,9.918498041,9.481227713
89.75791962,12.30341532,7.056093986
53.68859455,11.43484828,5.901389567
200.6256417,29.70825611,13.32920509
278.9018981,30.14489511,8.97862597
170.3437635,15.52639042,3.119943764
93.67045252,29.95688239,9.003383331
52.79042379,7.365308301,2.99477497
144.6062319,20.23988679,15.44747423
240.1765241,39.98944593,5.026889853
231.9844158,33.85945012,19.91692886
119.7343759,22.73371299,0.297872221
85.12568495,25.56506721,4.852359337
156.414101,11.61082982,0.586337597
139.0365723,39.77532316,3.778419913
145.4118947,39.62049392,19.38403613
105.9017974,1.267535807,5.555113724
62.46025328,21.37227336,0.503594698
51.20815324,4.84959687,18.39178985
51.27181761,39.60673197,19.5991638
240.6639254,30.22396212,13.90365278
56.90884304,20.54060389,19.6933118
102.4915324,36.4053437,13.14969747
127.2327351,7.673754512,0.288014565
88.04276485,3.123309309,18.34621489
207.5477238,35.52265261,16.80580213
86.03050546,1.307758805,2.742596918
269.6500646,38.68421559,19.32928602
115.1868219,10.68016741,10.57863282
187.0077992,15.55907543,0.34121882
253.9763142,37.01053906,15.9830088
293.3980101,39.78089402,14.44866218
150.6826243,10.72648505,4.603779212
130.2226041,5.373808342,4.105311879
237.9857243,28.08933558,11.05558843
287.724535,38.73865687,6.440016
243.2290804,20.21504198,1.512529737
135.4495038,39.56661731,12.36544898
50.33907027,19.18882699,10.39222634
206.1627156,24.22166338,11.31151226
180.3389603,0.283361183,0.621227491
51.65685645,12.45333049,19.73561143
118.8335064,16.91382324,9.512939978
271.7190479,39.1652434,0.69742201
155.0997534,28.72550172,3.956184453
50.73213665,12.19996634,12.51966642
90.79693907,19.36550265,3.860058758
131.9369159,17.15884564,1.96551815
89.77764505,6.448233781,0.927725334
263.1400205,37.26447953,12.7361022
286.9459635,7.457574345,0.183674673
117.9382488,33.0627551,19.6775434
89.57918795,0.434153385,9.287674692
51.87814626,22.93526527,13.12632971
207.500224,27.23831994,0.066631396
180.9884406,20.90690055,17.09549365
195.6812147,21.80500677,2.916307143
295.9605581,30.98278937,3.060629031
173.9580628,39.71865371,9.700294428
227.4458736,24.47518255,4.052068978
96.98847656,17.5880875,17.63727991
130.656804,14.68664988,16.8279224
141.5339894,39.27205266,16.1786776
192.7004093,26.98310093,4.968874899
194.7242781,39.73951291,6.678261364
192.0204838,25.29371394,7.952524304
55.17323064,4.120981146,14.4367916
229.1203788,39.68420211,18.63708847
128.5729718,30.20513865,7.785154527
59.15106015,3.665470244,5.398623242
84.51749287,17.78771541,14.04659167
297.8664675,31.01063979,6.134196402
194.8413793,37.33186781,1.646206615
51.67635842,0.144430606,8.031464072
160.110791,37.04475095,6.580223839
84.59704374,15.69052842,10.69536246
99.8578909,39.0896199,16.15404768
97.93259806,4.656763496,14.78232399
92.382726,39.9505895,19.90636915
162.8686177,21.56321566,0.567200759
113.8520944,0.53849262,0.500731769
219.1746796,29.9859465,7.289115595
