class,maxV,minV,width,minVbp,threshold
0,0,0,0,0,0
1,43.4967473506638,-54.446273982032,1.227,-54.446273982032,-47.4099454367338
1,43.28053270008,-54.4582264146065,1.212,-54.4582264146065,-47.4477630722994
1,43.4235442841366,-54.4461614214358,1.233,-54.4461614214358,-47.3998583472338
1,43.3872001483227,-54.4850969342462,1.218,-54.4850969342462,-47.405124746553
1,43.4023782325186,-54.4498353370415,1.23,-54.4498353370415,-47.4630389018158
1,43.3924892706783,-54.423618677584,1.221,-54.423618677584,-47.4006891289939
1,43.385749444425,-54.4770922423937,1.212,-54.4770922423937,-47.454036264821
1,43.2922644403765,-54.4591714627846,1.23,-54.4591714627846,-47.3888546262535
1,43.2934718657208,-54.4706632340594,1.209,-54.4706632340594,-47.3687224675787
1,43.2723685204826,-54.4824323269144,1.212,-54.4824323269144,-47.3677084608313
1,43.3281031190766,-54.4520965899418,1.218,-54.4520965899418,-47.4468592469665
1,43.2657760041141,-54.4527058916506,1.236,-54.4527058916506,-47.4061728039099
1,43.2830418726595,-54.4577459442483,1.218,-54.4577459442483,-47.4296191921635
1,43.4109839120612,-54.4189188857488,1.218,-54.4189188857488,-47.3688556082244
1,43.3723569870224,-54.4664862534843,1.236,-54.4664862534843,-47.3749109128646
1,43.3841662534535,-54.456074698941,1.239,-54.456074698941,-47.4075607525598
1,43.3678855031192,-54.4752354846865,1.227,-54.4752354846865,-47.4034271231427
1,43.3490885643566,-54.4383637778141,1.2,-54.4383637778141,-47.3550724868687
1,43.2881025155302,-54.4397663957171,1.224,-54.4397663957171,-47.3785958952858
0,0,0,0,0,0
1,43.3289603338679,-54.4356374077693,1.2,-54.4356374077693,-47.4472438815323
1,43.2713527421251,-54.4392416582976,1.215,-54.4392416582976,-47.4106919071589
0,0,0,0,0,0
1,43.460114427305,-54.4732050502213,1.215,-54.4732050502213,-47.3661588445343
1,43.2816198435155,-54.4856667473274,1.209,-54.4856667473274,-47.3780893505004
1,43.3462999924641,-54.4345870120999,1.221,-54.4345870120999,-47.4290820415036
1,43.2389177804497,-54.454912996353,1.224,-54.454912996353,-47.4344981927063
1,43.3115750153423,-54.4198703443871,1.212,-54.4198703443871,-47.3804988523139
1,43.4904604144643,-54.4740911938181,1.254,-54.4740911938181,-47.4199311902481
