class,maxV,minV,width,minVbp,threshold
0,0,0,0,0,0
1,39.6376699351361,-53.3866776349946,1.104,-53.3866776349946,-47.4099076114716
0,0,0,0,0,0
1,26.5008857964252,-68.0334071038606,0.837,-48.7844721371471,-47.2019627702013
0,0,0,0,0,0
1,41.8519734865899,-55.4889619950866,1.116,-55.4889619950866,-47.5612288813891
1,15.1414647245745,-45.4996537051158,1.155,-37.8973510024873,-37.8973510024873
1,17.8670537620684,-68.9817413246186,0.84,-45.218793767679,-45.218793767679
1,35.1230622135805,-50.0440631625553,1.065,-50.0440631625553,-47.3754215203428
0,0,0,0,0,0
1,42.6840697180826,-56.295903079593,1.143,-56.295903079593,-47.6178057818785
0,0,0,0,0,0
0,0,0,0,0,0
1,24.3185661440487,-68.1445767896945,0.834,-47.7766854484943,-47.25992254686
1,40.6044842850751,-54.3064156690752,1.11,-54.3064156690752,-47.4198885049246
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
