class,maxV,minV,width,minVbp,threshold
1,40.24984408,-54.61104715,1.053,-54.61104715,-47.5086981
0,0,0,0,0,0
0,0,0,0,0,0
1,31.57330545,-60.84452982,0.891,-50.56802167,-47.27909845
0,0,0,0,0,0
0,0,0,0,0,0
1,33.63195266,-54.32083244,0.924,-51.05819974,-47.29664264
1,26.30374675,-46.82943662,1.044,-44.9026099,-44.9026099
1,40.61622406,-55.06718205,1.053,-55.06718205,-47.53750076
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,32.80172218,-62.07154857,0.885,-51.49505652,-47.27692922
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,31.00915127,-67.00232142,0.846,-51.07575418,-47.22701989
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,38.94554737,-54.03332095,0.993,-54.03332095,-47.43464087
0,0,0,0,0,0
1,31.46818548,-51.59274483,0.951,-49.1712196,-47.35407033
0,0,0,0,0,0
1,41.26776117,-55.52896017,1.071,-55.52896017,-47.52531324
1,42.22896654,-55.96176011,1.137,-55.96176011,-47.59471181
1,21.89965693,-55.23818742,0.963,-43.9743744,-43.9743744
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,39.29384089,-53.73864229,1.044,-53.73864229,-47.45316595
0,0,0,0,0,0
1,39.74168076,-53.47461277,1.101,-53.47461277,-47.37581545
0,0,0,0,0,0
1,35.27965228,-51.44259664,0.984,-51.44259664,-47.33466705
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,27.94656724,-57.91911921,0.924,-47.87811432,-47.37670314
1,34.04351465,-49.36032842,1.059,-49.36032842,-47.41851928
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,38.84107158,-53.24758365,1.041,-53.24758365,-47.40989004
1,37.48889815,-52.73750866,1.002,-52.73750866,-47.40525286
1,31.12837501,-58.80210521,0.903,-49.99709108,-47.30529007
0,0,0,0,0,0
1,37.46932246,-52.93292248,0.996,-52.93292248,-47.40615814
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,39.32546268,-53.93774205,1.035,-53.93774205,-47.43396713
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,35.87691765,-52.34664303,0.951,-52.34664303,-47.35897182
1,28.86363931,-52.34298902,0.96,-47.55501405,-47.45291415
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,41.8554277,-55.44555584,1.131,-55.44555584,-47.56491681
1,39.81288751,-54.567858,1.02,-54.567858,-47.52134417
0,0,0,0,0,0
1,37.5644001,-51.80301315,1.068,-51.80301315,-47.36882699
1,40.52337812,-54.37575382,1.095,-54.37575382,-47.48226616
0,0,0,0,0,0
0,0,0,0,0,0
1,32.6227093,-48.10106329,1.074,-48.10106329,-47.45395296
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,35.56410524,-55.38059852,0.912,-52.63225496,-47.31541492
1,33.59566145,-49.84632715,1.005,-49.84632715,-47.34205263
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,40.16623234,-53.89550332,1.092,-53.89550332,-47.45896698
1,29.39447283,-47.75071307,1.005,-47.12376652,-47.12376652
