class,maxV,minV,width,minVbp,threshold
1,26.8684568970246,-68.2814305500956,0.831,-49.0587840028792,-47.1915636102892
1,40.6044842850751,-54.3064156690752,1.11,-54.3064156690752,-47.4198885049246
1,26.6954269447787,-66.7700483830669,0.843,-48.6914842749684,-47.2487485182513
1,24.035030211669,-66.8102702783974,0.855,-47.4387801383969,-47.2977893073801
1,33.1956213919264,-48.3251625219486,1.086,-48.3251625219486,-47.4585999766622
1,41.0061624137288,-54.7218201312097,1.098,-54.7218201312097,-47.4770725141746
0,0,0,0,0,0
1,18.9171469812606,-68.2745916542976,0.846,-45.4491983794353,-45.4491983794353
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,29.7746080092408,-68.4677439813609,0.843,-50.6098062481803,-47.2069284934269
0,0,0,0,0,0
0,0,0,0,0,0
1,34.806475763046,-50.0876161492377,1.038,-50.0876161492377,-47.3803712797749
0,0,0,0,0,0
0,0,0,0,0,0
1,42.8060256179787,-56.5237503583891,1.14,-56.5237503583891,-47.7010440620133
1,38.3980134152495,-52.2432445778612,1.092,-52.2432445778612,-47.3916276272595
0,0,0,0,0,0
