class,maxV,minV,width,minVbp,threshold
1,31.5805382476005,-48.1247601255826,1.029,-48.1247601255826,-47.4367664013002
0,0,0,0,0,0
1,36.0125952183414,-51.9201529569907,0.972,-51.9201529569907,-47.3693893043494
1,40.7321217787179,-54.8648949484138,1.083,-54.8648949484138,-47.5427116899447
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,37.4203856955398,-53.4460263809137,0.957,-53.4460263809137,-47.4368901893483
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,39.399675598642,-53.7946633096349,1.056,-53.7946633096349,-47.4482667774868
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
