class,maxV,minV,width,minVbp,threshold
1,31.7127542497163,-47.1889909798654,1.095,-47.1889909798654,-47.1889909798654
0,0,0,0,0,0
1,27.0336458050736,-44.2036825154144,1.095,-44.2036825154144,-44.2036825154144
1,8.1853084886331,-67.5278209757666,0.882,-41.4406274354524,-41.4406274354524
1,26.9798580687976,-54.0509019256467,0.948,-46.6590810877365,-46.6590810877365
0,0,0,0,0,0
1,42.552586453584,-56.2739839924988,1.125,-56.2739839924988,-47.6678286785811
1,41.902030797243,-55.5415860318109,1.125,-55.5415860318109,-47.5402479159394
1,27.5095584508472,-57.9650026987682,0.921,-47.6982294603439,-47.3996788030919
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,30.0207225327912,-66.5679526451155,0.855,-50.3912986370304,-47.2352384442241
0,0,0,0,0,0
1,15.7589279720995,-55.3522042372323,1.005,-40.8995690135672,-40.8995690135672
1,28.4085739655789,-66.8930067776394,0.849,-49.5707404277548,-47.2320295977659
0,0,0,0,0,0
1,24.4701062167988,-66.3494517720479,0.852,-47.5479672591873,-47.311762968967
0,0,0,0,0,0
0,0,0,0,0,0
