gnab,gbk,gkir,gkleak,kcabk,vmca,gCRH,gCRHpulse,gkirpulse,gkleakp,CRHkcabk,CRHvmca,kp,gnav,gca,gcaleak,gk,ga,gkca,nuc,kc,tauhna,vmna,smna,vhna,shna,amplitude,class,active_0,passive_0,active_1,passive_1,active_2,passive_2,active_3,passive_3,active_4,passive_4,ahp,v_max,v_min,v_mean,num_spikes,period_max,period_min,period_mean,upstroke_duration,downstroke_duration,inav_mean,ical_mean,icaleak_mean,ikdr_mean,ia_mean,ikca_mean,ibk_mean,ikir_mean,ikleak_mean,ins_mean,iCRH_mean,Jin_mean,jout_mean
0.05,0.6,1.23228011840124,0.1,1.5,-12.0,0.209154407864658,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.25978204074241,0.025,13.9879126721652,0.5,1.60387857803375,0.03,0.0838397692567477,2.0,-15.0,5.0,-60.0,-10.0,50.903162479400635,ActivityType.Active,72.0,124.0,174.0,226.0,275.5,327.5,377.0,429.0,478.5,530.5,10.614490509033203,-5.563004970550537,-56.46616744995117,-44.77299499511719,1.0,102.0,101.5,101.63916015625,52.04122543334961,49.597930908203125,-0.2805132567882538,-8.435909271240234,-2.6193246841430664,5.154257297515869,0.4962749481201172,2.502887487411499,2.1997861862182617,9.58192253112793,3.02268385887146,-11.60313892364502,-9.36445140838623,0.016582950949668884,0.016611352562904358
0.05,0.6,1.32373419462476,0.1,1.5,-12.0,0.328741110686732,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.62596677701773,0.025,2.9164941974403,0.5,3.0415443533129,0.03,0.0929392607121771,2.0,-15.0,5.0,-60.0,-10.0,49.14327955245972,ActivityType.Active,120.5,182.5,282.5,344.0,444.0,506.0,605.5,667.5,767.5,829.5,12.016361236572266,-2.899658679962158,-52.042938232421875,-42.19430160522461,1.0,162.0,161.5,161.6802978515625,61.95082473754883,99.7294921875,-0.23202581703662872,-11.87051773071289,-2.5548465251922607,1.8369677066802979,0.3802044987678528,12.433140754699707,2.9018337726593018,9.794958114624023,3.2805967330932617,-15.980663299560547,-13.870948791503906,0.02163802459836006,0.021753666922450066
0.05,0.6,1.21735844146084,0.1,1.5,-12.0,0.172223074571039,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.17300440491661,0.025,8.31845438430615,0.5,0.554291148422118,0.03,0.152073972617072,2.0,-15.0,5.0,-60.0,-10.0,53.245670557022095,ActivityType.Active,156.0,213.0,308.0,365.0,460.0,517.0,612.0,669.0,764.0,821.0,13.607185363769531,-3.6253011226654053,-56.8709716796875,-46.42000198364258,1.0,152.0,151.5,151.984375,56.9609375,95.0234375,-0.21611388027668,-6.718578815460205,-2.6605045795440674,3.148514747619629,0.38683632016181946,1.7875945568084717,1.7786051034927368,9.9549560546875,2.857985496520996,-10.315608024597168,-7.994617938995361,0.01406862959265709,0.014054076746106148
0.05,0.6,1.29911992044681,0.1,1.5,-12.0,0.377627870444957,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.20791810641403,0.025,15.9316823417732,0.5,0.104400052113896,0.03,1.21002280352555,2.0,-15.0,5.0,-60.0,-10.0,61.86146092414856,ActivityType.Active,31.0,59.0,85.0,113.0,139.0,167.0,192.5,220.5,246.5,274.5,13.28231430053711,3.296405076980591,-58.56505584716797,-43.358978271484375,1.0,54.0,53.5,53.87372589111328,27.974742889404297,25.898988723754883,-0.7945699095726013,-18.723005294799805,-2.5839738845825195,19.775575637817383,0.8921221494674683,3.1940934658050537,3.9974682331085205,9.609471321105957,3.16410756111145,-18.54142189025879,-16.373537063598633,0.03196033090353012,0.022869231179356575
0.05,0.6,1.35392052652077,0.1,1.5,-12.0,0.281684482805796,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.47225307880837,0.025,6.27595196145397,0.5,0.378602334968839,0.03,0.565599225009002,2.0,-15.0,5.0,-60.0,-10.0,49.562458992004395,ActivityType.Active,75.0,132.0,268.0,324.5,461.0,517.5,654.0,711.0,847.5,904.0,14.162910461425781,-4.5702619552612305,-54.132720947265625,-44.601104736328125,1.0,195.5,193.0,194.9199981689453,56.720001220703125,138.1999969482422,-0.1659005731344223,-8.56437873840332,-2.615034818649292,2.0000107288360596,0.3209792673587799,8.252608299255371,1.7834758758544922,10.738564491271973,3.039879083633423,-14.79353141784668,-12.563451766967773,0.01676916889846325,0.01677464134991169
0.05,0.6,1.21666621306781,0.1,1.5,-12.0,0.371893280703382,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.12614313531743,0.025,13.2598252860642,0.5,0.245748888713839,0.03,0.066884861051591,2.0,-15.0,5.0,-60.0,-10.0,59.83021664619446,ActivityType.Active,22.0,53.0,78.0,108.5,133.5,164.5,189.5,220.5,245.5,276.5,12.035697937011719,2.62218976020813,-57.20802688598633,-42.12620544433594,1.0,57.5,55.5,56.65658187866211,30.747478485107422,25.90909767150879,-0.7152577042579651,-19.012805938720703,-2.553157329559326,16.95454978942871,0.8455619215965271,5.854361057281494,4.291487216949463,8.807231903076172,3.287381410598755,-17.772768020629883,-15.666457176208496,0.03234903886914253,0.02968272939324379
0.05,0.6,1.28620643507189,0.1,1.5,-12.0,0.312616675651562,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.64825321630435,0.025,3.2973696640604,0.5,0.126880708747934,0.03,0.774190854726886,2.0,-15.0,5.0,-60.0,-10.0,70.29579544067383,ActivityType.Active,3.0,42.5,63.0,102.5,123.5,163.0,183.5,223.0,243.5,283.5,14.072433471679688,17.872745513916016,-52.42304992675781,-30.809581756591797,1.0,60.5,60.0,60.212120056152344,39.61110305786133,20.601009368896484,-1.066206455230713,-42.31770706176758,-2.2702488899230957,25.854665756225586,1.3219225406646729,5.577291011810303,12.563881874084473,7.084115982055664,4.419045448303223,-11.172075271606445,-9.631622314453125,0.06688171625137329,0.02941574528813362
0.05,0.6,1.22310947660333,0.1,1.5,-12.0,0.368952749716183,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.81930829438542,0.025,8.06989651097301,0.5,3.07951568380446,0.03,0.0627642961716448,2.0,-15.0,5.0,-60.0,-10.0,47.3720645904541,ActivityType.Active,36.5,88.0,138.5,190.0,240.5,292.0,342.5,394.0,444.5,496.0,10.426780700683594,-5.481924057006836,-52.85398864746094,-41.00954818725586,1.0,102.0,101.5,101.99484252929688,51.773197174072266,50.22164535522461,-0.29610514640808105,-14.899772644042969,-2.525245189666748,4.052391052246094,0.4699765145778656,14.966290473937988,3.409181833267212,8.604759216308594,3.3990375995635986,-17.181142807006836,-15.130631446838379,0.02613751031458378,0.02614535763859749
0.05,0.6,1.21569208809867,0.1,1.5,-12.0,0.189483775950833,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.96442231642208,0.025,3.23530277087845,0.5,0.0507805048534367,0.03,1.93652717001204,2.0,-15.0,5.0,-60.0,-10.0,0.00012922286987304688,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.007291316986084,-3.007420539855957,-3.0072944164276123,0.0,0.0,0.0,0.0,0.0,0.0,-2.0055155754089355,-132.7633056640625,-1.575182318687439,82.45549774169922,0.10156096518039703,3.6540324687957764,43.17341232299805,0.4805144667625427,7.199270725250244,-0.7201982140541077,-0.569833517074585,0.20150773227214813,0.029817480593919754
0.05,0.6,1.20202216844843,0.1,1.5,-12.0,0.177590890598788,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.21149346691311,0.025,15.7804003506232,0.5,0.323890236362899,0.03,0.596360063533236,2.0,-15.0,5.0,-60.0,-10.0,0.039371490478515625,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.59001922607422,-53.629390716552734,-53.61000061035156,0.0,0.0,0.0,0.0,0.0,0.0,-3.832622041954892e-08,-2.1111764907836914,-2.839902639389038,0.007422023918479681,0.1237950399518013,2.921006917953491,3.349478561176511e-07,11.962251663208008,2.1384572982788086,-12.200845718383789,-9.519723892211914,0.007427966222167015,0.007417007349431515
