gnab,gbk,gkir,gkleak,kcabk,vmca,gCRH,gCRHpulse,gkirpulse,gkleakp,CRHkcabk,CRHvmca,kp,gnav,gca,gcaleak,gk,ga,gkca,nuc,kc,tauhna,vmna,smna,vhna,shna,amplitude,class,active_0,passive_0,active_1,passive_1,active_2,passive_2,active_3,passive_3,active_4,passive_4,ahp,v_max,v_min,v_mean,num_spikes,period_max,period_min,period_mean,upstroke_duration,downstroke_duration,inav_mean,ical_mean,icaleak_mean,ikdr_mean,ia_mean,ikca_mean,ibk_mean,ikir_mean,ikleak_mean,ins_mean,iCRH_mean,Jin_mean,jout_mean
0.05,0.6,1.28312085238712,0.1,1.5,-12.0,0.398378469580646,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.79212225312723,0.025,15.0163246878576,0.5,0.0308528508536479,0.03,0.147788744864249,2.0,-15.0,5.0,-60.0,-10.0,53.62721775472164,ActivityType.Active,30.0,58.0,76.0,104.0,122.0,150.0,168.0,196.0,214.0,242.5,10.729774475097656,0.1508154720067978,-53.476402282714844,-38.67940139770508,1.0,46.5,46.0,46.06059646606445,28.444440841674805,17.616161346435547,-0.8330302834510803,-19.036518096923828,-2.4669907093048096,20.89098358154297,0.852304995059967,0.8883813619613647,4.988465785980225,8.453142166137695,3.632058620452881,-17.342981338500977,-15.409031867980957,0.0322553776204586,0.02896425873041153
0.05,0.6,1.22157385461583,0.1,1.5,-12.0,0.394890253616463,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.99459293577277,0.025,15.9201665522754,0.5,0.10907812591761,0.03,0.502868226841929,2.0,-15.0,5.0,-60.0,-10.0,56.42252033948898,ActivityType.Active,20.5,49.5,70.0,99.0,119.5,149.0,169.5,198.5,219.0,248.0,11.2833251953125,0.8060042262077332,-55.61651611328125,-40.65494918823242,1.0,50.0,49.5,49.71211242675781,29.09596061706543,20.61616325378418,-0.7808753848075867,-19.2053165435791,-2.5163733959198,19.75530242919922,0.8570355176925659,3.481576681137085,4.528189659118652,8.518850326538086,3.4345169067382812,-18.086973190307617,-16.05422019958496,0.032582588493824005,0.026783695444464684
0.05,0.6,1.21424734752528,0.1,1.5,-12.0,0.389050500774447,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.8416985750379,0.025,8.49892263504993,0.5,0.0507676962018893,0.03,1.94004712017195,2.0,-15.0,5.0,-60.0,-10.0,54.54729461669922,ActivityType.Active,2.5,31.0,47.5,76.5,93.0,122.0,138.0,167.0,183.5,212.5,10.909065246582031,3.4587554931640625,-51.088539123535156,-35.4441032409668,1.0,45.5,45.0,45.303035736083984,28.888891220092773,16.414140701293945,-0.9494855999946594,-23.31380844116211,-2.386103630065918,21.45012092590332,0.8972593545913696,1.9759044647216797,6.689251899719238,7.238708019256592,3.9555861949920654,-15.56175422668457,-13.789560317993164,0.03854972869157791,0.021709471940994263
0.05,0.6,1.27657180451043,0.1,1.5,-12.0,0.343047944189515,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.85205053221381,0.025,15.2738300392305,0.5,0.0102214767753108,0.03,1.21674720700298,2.0,-15.0,5.0,-60.0,-10.0,58.4189932346344,ActivityType.Active,23.5,53.0,75.5,105.0,127.5,157.0,179.5,209.0,231.5,261.0,11.685630798339844,1.535452127456665,-56.883541107177734,-41.880062103271484,1.0,52.0,51.5,51.98989486694336,29.808082580566406,22.181814193725586,-0.782338559627533,-16.92798614501953,-2.546990394592285,18.815040588378906,0.8866884112358093,0.3247147798538208,4.196066856384277,9.169721603393555,3.3120009899139404,-16.46090316772461,-14.366881370544434,0.029212508350610733,0.021545451134443283
0.05,0.6,1.20375458322606,0.1,1.5,-12.0,0.399773948405572,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.89785714771592,0.025,11.5461674188501,0.5,0.0967138965947139,0.03,0.702615486852651,2.0,-15.0,5.0,-60.0,-10.0,54.61862242221832,ActivityType.Active,23.5,52.5,70.5,99.5,117.5,147.0,165.0,194.0,212.0,241.0,10.925556182861328,1.6357351541519165,-52.982887268066406,-37.83775329589844,1.0,47.5,47.0,47.232330322265625,29.090913772583008,18.14141273498535,-0.8484497666358948,-21.19655418395996,-2.4459426403045654,20.14940643310547,0.8678722381591797,3.4465432167053223,5.5652008056640625,7.753525257110596,3.7162222862243652,-17.018476486206055,-15.126553535461426,0.035463809967041016,0.0265033096075058
0.05,0.6,1.35001246402684,0.1,1.5,-12.0,0.3894152654304,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.62702718811814,0.025,14.0159634187456,0.5,0.0084484662220683,0.03,0.63146966421607,2.0,-15.0,5.0,-60.0,-10.0,51.069936871528625,ActivityType.Active,1.5,31.0,47.5,77.0,94.0,123.0,140.0,169.5,186.0,215.5,10.21651840209961,-0.7865389585494995,-51.856475830078125,-37.44129943847656,1.0,46.5,46.0,46.12120819091797,29.313135147094727,16.80808448791504,-0.8090155720710754,-18.210201263427734,-2.4360272884368896,19.399330139160156,0.814446210861206,0.2954733669757843,5.1335248947143555,8.506278038024902,3.755875587463379,-16.452253341674805,-14.58021068572998,0.03096928633749485,0.02533811330795288
0.05,0.6,1.25827446953118,0.1,1.5,-12.0,0.36866516774835,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.07316089583116,0.025,3.67943635360445,0.5,0.0383169179644991,0.03,0.17593684681391,2.0,-15.0,5.0,-60.0,-10.0,55.247541427612305,ActivityType.Active,25.5,55.5,67.5,98.0,110.0,140.0,152.0,182.5,194.5,224.5,11.058929443359375,10.734434127807617,-44.51310729980469,-26.231857299804688,1.0,42.5,42.0,42.23233413696289,30.232324600219727,12.0,-1.2066380977630615,-38.99189758300781,-2.1557974815368652,27.820343017578125,0.8611940741539001,1.8506563901901245,12.795974731445312,5.149157524108887,4.876813888549805,-10.982332229614258,-9.670762062072754,0.06172143295407295,0.02994154952466488
0.05,0.6,1.31457517832203,0.1,1.5,-12.0,0.391123582193316,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.8299705463275,0.025,11.3622470412368,0.5,0.0340053755617915,0.03,0.851664337471906,2.0,-15.0,5.0,-60.0,-10.0,55.68157362937927,ActivityType.Active,28.0,57.0,75.5,104.5,123.0,152.0,170.0,199.0,217.5,246.5,11.13418960571289,2.2023065090179443,-53.47926712036133,-38.22423553466797,1.0,47.5,47.0,47.282833099365234,29.010103225708008,18.272729873657227,-0.8764472603797913,-20.176856994628906,-2.4555983543395996,20.546504974365234,0.8975918889045715,1.200819730758667,5.459293842315674,8.594523429870605,3.6775808334350586,-16.861555099487305,-14.950366020202637,0.03394881635904312,0.025263218209147453
0.05,0.6,1.25211941192456,0.1,1.5,-12.0,0.398892965277839,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.95452510494278,0.025,12.1970761869145,0.5,0.086360918889957,0.03,0.657276723021678,2.0,-15.0,5.0,-60.0,-10.0,56.55861234664917,ActivityType.Active,10.0,39.0,58.0,87.0,106.5,135.0,154.5,183.5,202.5,231.5,11.318939208984375,2.2140002250671387,-54.34461212158203,-38.99993133544922,1.0,48.5,48.0,48.242431640625,28.959596633911133,19.282827377319336,-0.8538035750389099,-20.73161506652832,-2.4750003814697266,20.46274757385254,0.8977022767066956,2.966033697128296,5.256528854370117,8.373522758483887,3.6000113487243652,-17.506797790527344,-15.556785583496094,0.03480987250804901,0.026549434289336205
0.05,0.6,1.20706464945859,0.1,1.5,-12.0,0.369701330616939,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.85462472610162,0.025,12.0934400058869,0.5,0.049150269942142,0.03,0.206964568924428,2.0,-15.0,5.0,-60.0,-10.0,56.170682072639465,ActivityType.Active,45.0,74.0,93.5,122.5,141.5,170.5,189.5,219.0,238.0,267.0,11.236095428466797,1.996094822883606,-54.17458724975586,-38.891441345214844,1.0,48.5,48.0,48.29291534423828,29.21717643737793,19.075754165649414,-0.8521457314491272,-19.786556243896484,-2.472287893295288,20.138748168945312,0.8975184559822083,1.5337146520614624,5.215705394744873,8.0436429977417,3.6108593940734863,-16.32278060913086,-14.378183364868164,0.03338819742202759,0.028787633404135704
