gnab,gbk,gkir,gkleak,kcabk,vmca,gCRH,gCRHpulse,gkirpulse,gkleakp,CRHkcabk,CRHvmca,kp,gnav,gca,gcaleak,gk,ga,gkca,nuc,kc,tauhna,vmna,smna,vhna,shna,amplitude,class,active_0,passive_0,active_1,passive_1,active_2,passive_2,active_3,passive_3,active_4,passive_4,ahp,v_max,v_min,v_mean,num_spikes,period_max,period_min,period_mean,upstroke_duration,downstroke_duration,inav_mean,ical_mean,icaleak_mean,ikdr_mean,ia_mean,ikca_mean,ibk_mean,ikir_mean,ikleak_mean,ins_mean,iCRH_mean,Jin_mean,jout_mean
0.05,0.6,1.25310380649801,0.1,1.5,-12.0,0.379520923793806,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.66766120426907,0.025,5.84394458847478,0.5,0.108307069024889,0.03,1.94848488553832,2.0,-15.0,5.0,-60.0,-10.0,48.293696880340576,ActivityType.Active,33.0,63.5,78.0,108.5,123.5,154.0,168.5,199.0,214.0,244.5,9.651248931884766,2.265857219696045,-46.02783966064453,-31.377986907958984,1.0,45.5,45.0,45.29292678833008,30.631309509277344,14.661616325378418,-0.9056321382522583,-25.063854217529297,-2.2844536304473877,17.78378677368164,0.7454636096954346,4.659182548522949,8.100565910339355,6.124265670776367,4.362215042114258,-13.477500915527344,-11.908602714538574,0.04102235659956932,0.022533046081662178
0.05,0.6,1.25306598339446,0.1,1.5,-12.0,0.28673556967052,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.47848540099955,0.025,9.41338142539162,0.5,0.0682661911905971,0.03,1.25135606510108,2.0,-15.0,5.0,-60.0,-10.0,52.670728236436844,ActivityType.Active,8.0,45.0,69.0,106.0,130.5,167.5,192.0,229.0,253.0,290.0,10.538738250732422,-0.47920843958854675,-53.14993667602539,-39.34418487548828,1.0,61.5,61.0,61.409080505371094,37.050498962402344,24.35858917236328,-0.6077424883842468,-14.846482276916504,-2.4836010932922363,11.61899471282959,0.7586982250213623,2.3142547607421875,4.478999614715576,8.44422435760498,3.5655722618103027,-13.248589515686035,-11.281414985656738,0.02599518559873104,0.01994156278669834
0.05,0.6,1.20511894091808,0.1,1.5,-12.0,0.329259565487372,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.95366625722184,0.025,7.07999258448368,0.5,0.00603338750053384,0.03,1.04901060172582,2.0,-15.0,5.0,-60.0,-10.0,61.462865352630615,ActivityType.Active,30.0,60.0,80.0,110.0,130.0,160.0,179.5,210.0,229.5,260.0,12.301311492919922,7.285348415374756,-54.17751693725586,-37.53153610229492,1.0,50.0,49.5,49.9040412902832,30.22222137451172,19.681814193725586,-0.9623968005180359,-22.92293357849121,-2.438289165496826,21.14476776123047,1.0426748991012573,0.22045321762561798,6.5575947761535645,7.848508834838867,3.7468490600585938,-14.234190940856934,-12.357625007629395,0.0380418598651886,0.025542372837662697
0.05,0.6,1.21692415368526,0.1,1.5,-12.0,0.255763659717422,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.55509260257759,0.025,5.56598538159434,0.5,0.036625842081484,0.03,0.0550502956870004,2.0,-15.0,5.0,-60.0,-10.0,57.27289819717407,ActivityType.Active,2.5,39.0,62.0,99.0,122.0,159.0,182.0,219.0,242.0,279.0,11.414493560791016,4.587831974029541,-52.68506622314453,-37.638797760009766,1.0,60.5,59.5,60.09596252441406,36.80807876586914,23.287872314453125,-0.7336325645446777,-17.638248443603516,-2.4409663677215576,13.3864164352417,0.8852394223213196,0.5712890625,5.843632221221924,7.895965576171875,3.7361319065093994,-11.50851821899414,-9.626598358154297,0.03011898882687092,0.029224488884210587
0.05,0.6,1.28509267460095,0.1,1.5,-12.0,0.280769481277493,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.32214509278327,0.025,2.62339844487198,0.5,0.0576105481541416,0.03,1.5291815322974,2.0,-15.0,5.0,-60.0,-10.0,0.00037384033203125,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.560963153839111,-4.561336994171143,-4.560966491699219,0.0,0.0,0.0,0.0,0.0,0.0,-2.1830663681030273,-101.62306213378906,-1.6140241622924805,52.951786041259766,0.1130693331360817,4.054370880126953,42.18585205078125,0.5799849629402161,7.043903350830078,-1.5086287260055542,-1.2805802822113037,0.1548556238412857,0.029789067804813385
0.05,0.6,1.29601536388624,0.1,1.5,-12.0,0.379668726206194,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.07077025405466,0.025,15.7179970971838,0.5,0.133685369846547,0.03,0.538078945980423,2.0,-15.0,5.0,-60.0,-10.0,59.179722905159,ActivityType.Active,5.5,35.5,59.5,89.5,114.0,144.0,168.5,198.5,223.0,253.0,11.846389770507812,1.7213603258132935,-57.4583625793457,-42.473114013671875,1.0,55.0,54.0,54.48485565185547,30.191917419433594,24.29292869567871,-0.7377929091453552,-18.17749786376953,-2.5618250370025635,18.0821475982666,0.8530048727989197,4.016424655914307,4.08549165725708,9.432458877563477,3.252685070037842,-18.249418258666992,-16.125741958618164,0.031108928844332695,0.026101285591721535
0.05,0.6,1.21673395887723,0.1,1.5,-12.0,0.392622807895487,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.47349435698948,0.025,6.83133216780717,0.5,0.0262788896797677,0.03,0.204833615270773,2.0,-15.0,5.0,-60.0,-10.0,66.36835861206055,ActivityType.Active,38.0,65.5,84.0,111.5,129.5,157.0,175.5,203.0,221.0,248.5,13.286872863769531,11.691970825195312,-54.676387786865234,-36.06065368652344,1.0,46.0,45.5,45.747474670410156,27.550508499145508,18.196971893310547,-1.2037400007247925,-31.604686737060547,-2.4015214443206787,29.331409454345703,1.2307157516479492,1.0035001039505005,8.067174911499023,7.700621604919434,3.893930435180664,-15.961298942565918,-14.158239364624023,0.051009323447942734,0.029845990240573883
0.05,0.6,1.23338803188825,0.1,1.5,-12.0,0.224214710534139,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.83546141853718,0.025,3.70477958096657,0.5,0.144777151995814,0.03,1.79180362886276,2.0,-15.0,5.0,-60.0,-10.0,79.9610424041748,ActivityType.Active,51.5,90.0,134.5,172.5,217.0,255.5,300.0,338.0,382.5,421.0,19.780838012695312,19.968019485473633,-59.99302291870117,-40.22519302368164,1.0,83.0,82.5,82.83335876464844,38.1919059753418,44.641414642333984,-0.7819953560829163,-30.909038543701172,-2.505620241165161,18.42208480834961,1.3246370553970337,4.996270656585693,8.369474411010742,8.624216079711914,3.477478265762329,-11.030320167541504,-9.01905632019043,0.050122082233428955,0.026025976985692978
0.05,0.6,1.33122351745635,0.1,1.5,-12.0,0.347224029001517,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.33714175828549,0.025,14.9102069239468,0.5,0.00048765328339373,0.03,1.80763027340957,2.0,-15.0,5.0,-60.0,-10.0,66.75578117370605,ActivityType.Active,8.5,34.0,62.0,87.0,115.0,140.5,168.0,193.5,221.5,247.0,15.509422302246094,6.522863388061523,-60.23291778564453,-44.44725799560547,1.0,53.5,53.0,53.207069396972656,25.323232650756836,27.883832931518555,-0.9299380779266357,-19.31411361694336,-2.6111929416656494,22.4456729888916,1.0046374797821045,0.014560794457793236,4.028777122497559,9.953126907348633,3.0552687644958496,-17.65549659729004,-15.433178901672363,0.03288797661662102,0.020391538739204407
0.05,0.6,1.20311874927472,0.1,1.5,-12.0,0.217405407141851,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.37791124103228,0.025,2.29074442047232,0.5,0.0946174257780144,0.03,0.202939440378267,2.0,-15.0,5.0,-60.0,-10.0,0.000640869140625,ActivityType.Hyperpolarized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6746251583099365,-3.6752660274505615,-3.674639940261841,0.0,0.0,0.0,0.0,0.0,0.0,-2.086440324783325,-105.51808166503906,-1.5918662548065186,52.95647430419922,0.10640379041433334,6.743487358093262,42.737728118896484,0.5034599900245667,7.132534980773926,-0.9826189279556274,-0.7988861203193665,0.16066491603851318,0.029992856085300446
